name,title,org,site,region,function,source_url,source_note,meet_at,date_found,canonical_site,canonical_title
Kathryn E. Wengel,"EVP, Chief Technical Operations & Risk Officer",Johnson & Johnson,Enterprise-wide (Global),US,Engineering/Quality/Supply Chain (Executive),https://www.jnj.com/kathryn-e-wengel,"Official jnj.com executive bio; oversees Engineering & Property Services, Quality & Compliance, Supply Chain enterprise-wide. Also listed as ISPE member.",,2026-07-15,Enterprise-wide (Global),"EVP, Chief Technical Operations & Risk Officer"
Julian Hooks,"VP, Global Services Operations & Procurement",Johnson & Johnson,Enterprise-wide (Global),US,Procurement,https://www.ssonetwork.com/events-shared-services-week/speakers/julian-hooks,SSON Network (Shared Services & Outsourcing Week) speaker bio.,,2026-07-15,Enterprise-wide (Global),"VP, Global Services Operations & Procurement"
Dapo Ajayi,"VP, Innovative Medicine Supply Chain",Johnson & Johnson,"Wilson, NC",US,Supply Chain,https://www.jnj.com/media-center/press-releases/johnson-johnson-to-break-ground-on-new-state-of-the-art-biologics-facility-in-north-carolina-to-deliver-market-leading-portfolio-of-transformational-therapies,"Quoted in jnj.com press release and NC Governor's office release re: Wilson, NC $2B+ biologics facility groundbreaking.",,2026-07-15,"Wilson, NC (Biologics)","VP, Innovative Medicine Supply Chain"
"Peter Millili, PhD","Senior Director, Manufacturing Science and Technology (MSAT), Advanced Therapies",Janssen Pharmaceutical Companies of Johnson & Johnson,"Philadelphia / Spring House, PA",US,MSAT,https://ispe.org/people/peter-millili,ISPE.org member/speaker profile; ISPE conference committee member.,ISPE Annual Meeting & Expo,2026-07-15,"Philadelphia / Spring House, PA","Senior Director, Manufacturing Science and Technology (MSAT), Advanced Therapies"
Kimberly Lounds Foster,"Global Head, Advanced Therapies Supply Chain",Johnson & Johnson,Advanced therapies manufacturing network,US,Supply Chain,https://www.mccormick.northwestern.edu/magazine/fall-2024/kimberly-lounds-foster-passion-and-perseverance/,"Northwestern Engineering alumni magazine (Fall 2024), corroborated by jnj.com/tag/supply-chain.",,2026-07-15,Advanced therapies manufacturing network,"Global Head, Advanced Therapies Supply Chain"
Federico Sabini,"LCM Manager, MSAT Large Molecule Drug Product Platform",Johnson & Johnson Innovative Medicine,Europe (site unspecified),Europe,MSAT,https://www.pda.org/global-event-calendar/event-detail/pda-parenteral-packaging-conference-2026,PDA Parenteral Packaging Conference 2026 speaker listing.,PDA Parenteral Packaging Conference 2026,2026-07-15,Europe (site unspecified),"LCM Manager, MSAT Large Molecule Drug Product Platform"
Joaquin Duato,Chairman & CEO,Johnson & Johnson,Global,Global,Executive (CEO),https://www.jnj.com/media-center/press-releases/johnson-johnson-expands-u-s-footprint-with-more-than-1-billion-investment-in-next-generation-cell-therapy-manufacturing-facility-in-pennsylvania,"Quoted re: PA cell therapy facility, Jacksonville FL Vision expansion, and DePuy Synthes separation. jnj.com, NBC Philadelphia, Jax Daily Record.",,2026-07-15,Global,Chairman & CEO
Tim Schmid,"EVP, Worldwide Chairman, Johnson & Johnson MedTech",Johnson & Johnson MedTech,Global,Global,Executive (MedTech),https://www.sec.gov/Archives/edgar/data/200406/000020040625000201/a2025q3exhibit991.htm,J&J 8-K filing coverage re: DePuy Synthes separation and Costa Rica MedTech facility.,,2026-07-15,Global,"EVP, Worldwide Chairman, Johnson & Johnson MedTech"
Namal Nawana,"Worldwide President, DePuy Synthes",Johnson & Johnson (DePuy Synthes),Orthopedics manufacturing network,Global,Executive (MedTech),https://bonezonepub.com/2025/10/15/johnson-johnson-to-create-standalone-orthopedics-company/,BONEZONE coverage of Oct 2025 orthopedics separation announcement.,,2026-07-15,Orthopedics manufacturing network,"Worldwide President, DePuy Synthes"
Ciaran Kelleher,"Senior Principal Engineer, Janssen Supply Chain",Janssen Supply Chain (Johnson & Johnson),Ireland (site unspecified),Europe,Engineering (C&Q/Standards),https://cstools.asme.org/csconnect/CommitteePages.cfm?Committee=N10120600,ASME BPE Subcommittee on Systems Design contributing member — writes bioprocessing equipment/piping standards directly relevant to valve specification.,ASME BPE committee meetings,2026-07-15,Ireland (site unspecified),"Senior Principal Engineer, Janssen Supply Chain"
Dana Daneshvari,"General Manager & VP Manufacturing, Large Molecule Site",Johnson & Johnson Innovative Medicine,"Ringaskiddy (Cork), Ireland",Europe,Engineering/Manufacturing (Site GM),https://healthcareglobal.com/medical-devices-and-pharma/johnson-and-johnson-subsidiary-set-expand-its-manufacturing-capabilities-ireland,"Cork/Ringaskiddy expansion press coverage, 2024-2025.",,2026-07-15,"Cork, Ireland","General Manager & VP Manufacturing, Large Molecule Site"
Leila Schwery-Bou-Diab,VP Manufacturing & Technical Operations,Johnson & Johnson (Janssen Sciences Ireland),"Ringaskiddy (Cork), Ireland",Europe,Manufacturing/Technical Operations,https://www.idaireland.com/latest-news/press-release/janssen-announces-%E2%82%AC150m-investment-in-cork-to-expand-biopharmaceutical-supply-chain-footprint,"IDA Ireland press release, 2022 — role may have changed since.",,2026-07-15,"Cork, Ireland",VP Manufacturing & Technical Operations
Tom Heyman,"CEO, Janssen Pharmaceutica (Belgium)",Janssen Pharmaceutica NV,"Geel, Belgium",Europe,Executive (Country CEO),https://www.amcham.be/blog/yes2belgium-6/janssen-in-belgium-investing-in-pharmaceutical-innovations-13,AmCham Belgium / Catalisti coverage of Geel chemical plant investment.,,2026-07-15,"Geel, Belgium","CEO, Janssen Pharmaceutica (Belgium)"
"Johan Van Hoof, MD","Global Therapeutic Area Head IDV, Vaccines",Janssen Pharmaceuticals R&D,"Leiden, Netherlands",Europe,R&D/Vaccines,https://www.innovationquarter.nl/en/johnson-johnson-unveils-new-vaccines-launch-facility-in-leiden/,Leiden University / InnovationQuarter coverage of Leiden vaccines facility.,,2026-07-15,"Leiden, Netherlands","Global Therapeutic Area Head IDV, Vaccines"
Stephanie Striegler,"General Manager, Janssen Schaffhausen",Janssen (Johnson & Johnson),"Schaffhausen, Switzerland",Europe,Executive (Site GM),https://www.jnj.com/CH/our-leadership-team,Official jnj.com Switzerland leadership page.,,2026-07-15,"Schaffhausen, Switzerland","General Manager, Janssen Schaffhausen"
