Event,Date,Location,Status,Relevance,Target Accounts Active,Notes
2026 ISPE Annual Meeting & Expo,2026-10-18/21,"Washington, DC",UPCOMING,"Flagship US pharma-engineering event; all 8 accounts attend. Best single venue for whole target list.",All 8,Full speaker agenda publishes ~Aug-Sep 2026 — screenshot/download when live and I cross-match to the 483.
Pharma Maintenance Europe 2026 (we.CONECT),2026-10-01/02,"Berlin (Maritim proArte)",UPCOMING,"TOP FIT for PdM+valves — only European event for reliability eng / maintenance / asset mgmt / TechOps in GMP pharma. 150+ TechOps decision-makers. Exactly your Tier-1 buyer.",AstraZeneca / Novartis / Roche / Novo / AbbVie (typical),"Speaker roster behind we.CONECT login — grab the PDF agenda after registering and I cross-match. One ticket also bundles Pharma Manufacturing + LabTech + Pharma MES Europe 2026 (co-located Berlin, same days)."
Pharma Manufacturing Europe 2026 (co-located),2026-10-01/02,"Berlin (Maritim proArte)",UPCOMING,"Co-located with Pharma Maintenance — manufacturing/TechOps leaders. Same ticket.",EU sites,Bundled with the Maintenance ticket — 4 events, one badge.
Pharma Maintenance Reloaded USA 2026 (we.CONECT),2026 (TBC — spring),"Boston area (Encore Boston Harbor typical)",UPCOMING,"US sister event to Berlin — reliability/maintenance leaders. Your Devens/Boston + US clusters.",BMS / Lilly / J&J US,"2025 edition was Mar 16-18 Encore Boston Harbor; confirm 2026 date. Same gated-agenda pattern."
American Pharma Manufacturing & Outsourcing Summit (PMOS),2026-11-19/20,"Boston (Encore Boston Harbor)",UPCOMING,"200+ senior mfg/external-mfg/supply-chain leaders; sessions on predictive maintenance + downtime. External-mfg (Tier 2) + ops decision-makers.",US mfg leaders,10th year (Generis). Boston = your Devens/US cluster. Confirm which target accounts on the speaker list.
Cell & Gene Therapy International (CGT),2026-09-22/25,"Boston (Hynes Convention Center)",UPCOMING,"CAR-T / gene-therapy manufacturing = sterile fill-finish valve trains. Direct fit for BMS CAR-T + Novartis cell therapy.",BMS / Novartis / Lilly,CAR-TCR Summit (also Boston, same window) features Lilly + Novartis — pair them.
MAFM — Manufacturing Assets & Facility Management in Pharma,2026 (recurring; confirm next),"US (typical)",RECURRING,"BULLSEYE — 80+ Eng/Maintenance/Facilities leaders; predictive asset maintenance + next-gen facilities. Small, senior, exactly your buyer.",J&J / AstraZeneca (past),2nd edition ran ~mid-2026; track the next date. Intimate format = high access.
Pharma Maintenance Reloaded USA,2026-03-23/24,"Boston (Encore Boston Harbor)",PAST/RECURRING,"US maintenance/asset-mgmt/TechOps — sister to Berlin event. Your PdM pitch.",US biotech mfg,Historical for 2026; watch 2027 edition. Attendee/agenda downloads available on site.
Pharma Manufacturing World Summit (Executive Platforms),2026 (confirm),"US (typical)",UPCOMING,"Invitation-only senior manufacturing leaders — VP/site-head altitude (Tier 3).",Large-cap mfg execs,Executive-Platforms format = very senior, curated. Good for exec-sponsor access.
2026 ISPE AI in Life Sciences Summit,2026 (TBC),"Boston, MA",UPCOMING,"Digital/asset-analytics crowd — good for predictive-maintenance pitch.",Regional NE cluster,Confirm date; Boston = your Devens/Cambridge BMS + Genentech cluster.
2027 ISPE Facilities of the Future,2027-02-01/02,"Long Beach, CA",UPCOMING,"HIGHEST fit — capital projects / next-gen facility design / CIP-SIP / utilities. Where valves get specified.",Lilly / Genentech / J&J recur as keynotes,FoY (Facility of the Year) finalists announced here — maps to live capital projects.
2027 ISPE Europe Annual Conference,2027-05-10/12,"Prague, Czech Republic",UPCOMING,"European sites — BMS Ireland/Cruiserath, AZ, Novartis, Novo, Roche.",Lilly / Novo / BMS Europe,Copenhagen 2026 edition had Lilly + Novo case studies — Prague likely similar.
ISA Automation Summit & Expo 2026,2026-09-27/29,"Lake Buena Vista, FL",UPCOMING,"VALVE/INSTRUMENTATION-native — control valves, process automation, IIoT. Not pharma-specific but where valve+PdM tech lives. Technical credibility + supplier intel.",Cross-industry (incl. pharma),2027 edition 17-19 Oct Nashville. Adjacent-industry but directly on-topic for diaphragm valves + predictive sensing.
ISA Automation Summit & Expo 2027,2027-10-17/19,"Nashville, TN",UPCOMING,"As above — valve/instrumentation technical venue.",Cross-industry,Plan alongside the 2026 edition.
The Bioprocessing Summit 2026,2026-08-10/13,"Boston (Westin Boston Seaport)",UPCOMING,"Upstream/downstream + MSAT/process crowd; skews scientific but has facility/energy engineers (e.g. Genentech Distinguished Engineer). Another Boston-hub date.",Genentech / Lilly / J&J,"Speaker bios partly indexed (non-ISPE); grab full roster PDF. PEGS Europe (Nov 2026) is a sister event."
BioProcess International (BPI) Boston 2026,2026-09-22/25,"Boston (Hynes Convention Center)",UPCOMING,"800+ bioprocessing pros; upstream/downstream + smart bioprocessing. Same venue/week as CGT — double-dip the Boston trip.",Broad biomanufacturing,Co-runs with Cell & Gene Therapy Intl at Hynes — one trip, two events.
BioProcess International Europe 2027,2027-04-27/29,"Hamburg, Germany",UPCOMING,"~800 EU bioprocessing pros, full up/downstream lifecycle. EU-site engineering/process crowd.",EU biomanufacturing,Vienna 2026 edition already passed; Hamburg is next.
ISPE Ireland INSPIRE,2026-05-14,"Cork (Páirc Uí Chaoimh)",PAST/RECURRING,"CRITICAL for Ireland cluster — 600+ attendees, 60+ vendors, FREE. Your BMS Cruiserath + AZ Ireland + Lilly Limerick people are here.",BMS / AZ / Lilly Ireland,"Ireland-affiliate flagship; May 2026 edition passed — track INSPIRE 2027. Free entry = low-cost, high-density access to the Ireland cluster."
ISPE Boston Area Chapter Product Show,2026-10-07,"Foxborough, MA (Gillette Stadium)",UPCOMING,"HIGH — 33rd annual, premier 1-day NE biopharma show. 5,000+ engineers/sourcing/compliance DMs. FREE. Best single-day access to your Devens/Boston/NE cluster.",BMS / Genentech / NE sites,Registration free; exhibitor floor + agenda. One-day, high-density — pairs with CGT/BPI/PMOS Boston trips.
Advancing Life Science Construction 2026 (NCBiotech),2026 (confirm),"North Carolina (RTP)",UPCOMING,"CAPITAL PROJECTS-native — owners/designers/builders delivering manufacturing spaces. Where new NC valve demand originates.",Lilly / Novo NC builds,NC = Lilly (Concord) + Novo (Clayton) expansions. Construction crowd = early in the valve-spec cycle.
NCBiotech Summit 2026 (Eastern Region),2026 (confirm),"Eastern North Carolina",UPCOMING,"Regional biopharma-manufacturing hub summit — NC's fast-growing fill-finish/API footprint.",NC-based sites,Registration not yet open; track for Lilly/Novo/other NC site staff.
ISPE Nordic Affiliate events,2026-2027 (recurring),"Denmark / Nordics",RECURRING,"Denmark cluster — Novo Nordisk hosts/participates. Direct route to Novo Kalundborg engineering.",Novo Nordisk,Novo has hosted ISPE Nordic sessions; $6B Kalundborg API expansion (NNE-engineered) = live valve demand. Track affiliate calendar.
PDA Sterile Manufacturing & Regulatory Excellence Summit 2026,2026 (confirm),"USA (confirm)",UPCOMING,"PDA = THE sterile/parenteral body. Sterile mfg = fill-finish diaphragm-valve core. High fit for CAR-T/parenteral pitch.",BMS / Lilly / Novo / AZ (typical),"Confirm date. PDA site is egress-blocked to me — download agenda PDF for cross-match."
PDA Pharmaceutical Manufacturing & Quality Conference 2026,2026 (confirm),"USA (confirm)",UPCOMING,"Mfg + quality — process/utilities/validation crowd.",Broad pharma mfg,PDA event series; grab agenda PDF.
PDA Advanced Parenteral Therapeutics & Quality Summit 2026,2026 (confirm),"USA (confirm)",UPCOMING,"Advanced parenteral (incl. cell/gene sterile) — direct CAR-T fill-finish fit.",BMS / Novartis cell therapy,PDA; confirm date + roster via PDF.
PDA Universe of Pre-Filled Syringes & Injection Devices 2026,2026 (confirm),"USA / Europe (confirm)",UPCOMING,"Fill-finish + device — parenteral valve trains. Lilly device/parenteral execs speak here.",Lilly / Novo,"Coralie Richard / Pavlos Vlachos (Lilly) seen on PDA rosters."
PDA Week 2026,2026 (confirm),"USA (confirm)",UPCOMING,"PDA flagship — broad sterile/parenteral membership gathering.",All 8 (parenteral),PDA's marquee week; agenda PDF = cross-match target.
Valve World Expo & Conference 2026,2026-12-01/03,"Düsseldorf, Germany (Messe)",UPCOMING · HIGH (industry),"YOUR OWN industry flagship — biennial global valve/flow-control expo + conference. Competitive intel, suppliers, spec trends, and pharma flow-control buyers. Saunders should have a presence/scout here.",Flow-control industry + process end-users,"Not a pharma-account roster play — it's your category's home show. Attend for market/competitor intel + demand-side engineering contacts."
ACHEMA 2027,2027-06-14/18,"Frankfurt, Germany (Messe)",UPCOMING · HIGH,"Triennial world process-industry & equipment show (last 2024). Where pharma process/utilities engineers meet equipment/flow-control suppliers. Enormous valve/CIP-SIP relevance.",All majors (process/eng),"Massive — plan early. Exhibitor + agenda published closer; strong for both BD and category presence."
INTERPHEX 2027,2027-04-13/15,"New York, NY (Javits Center)",UPCOMING,"Leading US pharma/biotech manufacturing expo + conference — processing, facilities, equipment. Strong engineering/ops attendance.",US biopharma mfg,2026 edition already passed; 2027 confirmed. Agenda/exhibitor list downloadable your side.
ISPE Aseptic Conference 2027,2027-03 (Mar),"Arlington, VA (Hyatt Regency Crystal City)",UPCOMING,"Sterile/aseptic processing, robotics, automation = fill-finish valve trains. Recurs annually; 2026 speakers incl. BMS/Lilly.",BMS / Lilly / Novo,Next edition of the Aseptic conference; grab roster PDF.
