name,dates,location,named_jnj_attendees,jnj_presence_level,notes
ISPE Annual Meeting & Expo 2026,"Oct 18-21, 2026","Gaylord National Resort & Convention Center, National Harbor, MD, USA","Peter Millili (high confidence, not a specific-session confirmation)",individual(s) confirmed,"Millili is an ISPE conference committee member, which strongly implies attendance, but that is not the same as a confirmed 2026 speaking slot. FOYA Banquet is Oct 18, co-located."
ISPE FOYA Banquet 2026,"Oct 18, 2026","Gaylord National Resort & Convention Center, National Harbor, MD, USA",none confirmed,unconfirmed,"J&J won 2 of 2025's FOYA categories so recognition/attendance by the winning project teams is likely, but no specific named attendee confirmed. Co-located with ISPE Annual Meeting & Expo."
ISPE Europe Annual Conference 2026,"Apr 20-22, 2026","Bella Center, Copenhagen, Denmark",none confirmed,"company session confirmed, speaker TBD",J&J Innovative Medicine's Latina (Italy) and Ringaskiddy (Cork) project teams are presenting their 2025 FOYA-winning projects as case studies — confirmed on the agenda — but I could not find the individual presenter's name for either session. Do not assume Dana Daneshvari or anyone else in contacts.json is the presenter.
PDA Parenteral Packaging Conference 2026,"Apr 14-15, 2026","Munich, Germany",Federico Sabini,individual(s) confirmed,Sabini (J&J MSAT) is a listed speaker on the official PDA conference page.
BioProcess International (BPI) 2026,"Sep 22-25, 2026","Hynes Convention Center, Boston, MA, USA",Thomas Kelly,individual(s) confirmed,"Kelly (Janssen R&D) is a listed speaker on the official BPI speaker page. Separately, J&J has a session titled 'Next-gen innovation playbook' with no named presenter found."
BioProcess International US West (BPI West) 2026,"Mar 9-11, 2026","San Diego Convention Center, San Diego, CA, USA","Carlos Arbelaez, PhD",individual(s) confirmed,"Arbelaez (J&J Innovative Medicine) is a listed speaker; his session 'End-to-End Process Development for Autologous CAR-T Cells' is scheduled Mar 10, 2:30pm."
BIO International Convention 2026,"Jun 22-25, 2026","San Diego Convention Center, San Diego, CA, USA","John Reed, MD PhD; Nauman Shah",individual(s) confirmed,"Both listed as speakers on BIO.org's official Johnson & Johnson program page. Note: both are R&D/business-development leadership, not engineering/procurement — lower direct relevance to valve buying decisions, but a confirmed in-person venue."
BioProcess International Europe 2026,"Apr 28-30, 2026","Vienna, Austria",none confirmed,"company session confirmed, speaker TBD","Informa's own speaker page lists the J&J Innovative Medicine slot as 'A Representative from Johnson & Johnson Innovative Medicine' — i.e. J&J has a confirmed session, but the organizers themselves haven't named the individual yet as of this research."
INTERPHEX 2026,"Apr 21-23, 2026","Javits Center, New York, NY, USA",none confirmed,unconfirmed,General pharma-manufacturing-equipment trade show; no J&J presence (company or individual) found in search. Worth checking the exhibitor/attendee list closer to the date.
ASME BPE Committee Meetings,"Ongoing, several/year",Varies (ASME-hosted),Ciaran Kelleher,individual(s) confirmed,"Kelleher (Janssen Supply Chain) is an active Subcommittee on Systems Design member. Working sessions, not a trade show — highest-signal room for actual valve/piping spec influence if accessible as an industry participant."
ISPE Delaware Valley Chapter Annual Symposium & Exhibition,"Aug 6, 2026","Lincoln Financial Field, Philadelphia, PA, USA",none confirmed,unconfirmed,"Regional chapter covering the PA/NJ pharma corridor (Spring House, Malvern, Titusville, Horsham, Raritan) — high site density in this region, but no confirmed J&J speaker found for 2026 yet."
