Account,Project / Site,Location,Scale,Signal / Status,Valve-BD Relevance,Linked Contacts in Dataset,Source
Eli Lilly,Lilly Concord (new GMP campus),"Concord, North Carolina, USA",Multi-billion,"2026 FOYA winner (Operations – Project Execution). Fully automated, digital-twin C&Q, modular.","Live, just-completed mega-campus = fixtures/spares + next-phase demand. Digital-twin C&Q aligns with PdM pitch.",Kenneth Swank / Corey Povaleri (Lilly capital),ISPE FOYA 2026 / press
Eli Lilly,LEAP / Lebanon & Indiana API buildout,"Lebanon & Greenwood, Indiana, USA",$9B+ (multi-site),"Ongoing mega-capital program.","Greenfield API = full valve fit-out. Earliest spec stage.",Kenneth Swank (Sr Dir Major Capital Projects, IN),Public / press
AstraZeneca,Commercial Cell Therapy Facility,"Rockville, Maryland, USA",New build,"2026 FOYA winner (Social Impact). Fully electrified, novel design standards.",Cell-therapy sterile trains = diaphragm-valve dense; replicable roadmap = repeat spec.,Thomas A. Harris (AZ Eng Dir Biologics),ISPE FOYA 2026 / press
AstraZeneca,Biologics expansion,"Frederick, Maryland, USA",Expansion,"Active biologics manufacturing + engineering org.","Biologics DS/DP utilities + CIP-SIP.",Thomas A. Harris,Public
Novo Nordisk,Clayton / Durham expansion,"Clayton & Durham, North Carolina, USA",$4.1B,"Under construction — largest US Novo footprint.","API + fill-finish expansion = major valve demand.",Jacquelyn White / Sowmya Godala (Novo project eng),Novo / NCBiotech
Novo Nordisk,Kalundborg API expansion,"Kalundborg, Denmark",$6B+ (NNE-engineered),"Active mega-expansion.","API mega-build; NNE is the engineering partner — spec route.",Flemming Dahl / Jørgen Falkbøll / Lene Damkjær Iversen,Public / press
Novo Nordisk,Global Fill & Finish Expansions programme,Multiple (global),Programme,"Ongoing — all major F&F expansions under one SVP.","Apex fill-finish valve-demand programme company-wide.",Flemming Dahl (SVP F&F Expansions),ISPE / public
AbbVie,North Chicago capital programme,"North Chicago, Illinois, USA",>$2B,"Active — multiple open Assoc Dir Utilities / Dir Capital Projects / Sr Dir Engineering roles (Chillers, WFI, Clean Steam, CIP-SIP).","Live >$2B biopharma capital = utilities + CIP-SIP valve demand. AbbVie names are gate-locked — target via these roles.",(AbbVie senior eng not yet named — Sales Nav gap),AbbVie careers (role signals)
Roche/Genentech,Holly Springs biologics facility,"Holly Springs, North Carolina, USA",$2B (raised from $700M Jan 2026),"Broke ground Aug 2025; operational ~2029; 700k sq ft; part of Roche $50B US program.","NEW greenfield biologics = full valve fit-out, earliest spec stage. Top fresh lead.",Michael Greening (US Project Delivery) / Troy Farris,Nasdaq / BioProcess Intl / press
Novartis,North Carolina flagship manufacturing hub,"North Carolina, USA",Part of $23B US (5-yr),"Announced Nov 2025 — end-to-end domestic production hub.","New integrated hub = utilities + CIP-SIP + process valve demand from ground up.",Nicholas J. Casale (US mfg eng),Novartis / press
